2437 A, A
4884 BERGERON, LE
2808 BERGERON, P
14960 BERGES, J
13673 BERGHOEFER, T
7939 BERGHOEFER, TW
10160 BERGHOEFER, W
486 BERGH, SVD
9655 BERGIN, EA
11851 BERGLIAFFA, SEP
13123 BERG, MVD
11982 BERGOND, G
2478 BERGSTROM, L
5314 BERGSTROM, TACL
9766 BERGVALL, N
3882 BERK, DEV
5855 BERKELEY, U
2574 BERKELEY, UC
8994 BERKES, I
4907 BERKHUIJSEN, EM
15716 BERKLEY, AJ
315 BERKOOZ, M
13741 BERLEY, D
11929 BERLIND, A
6189 BERLIND, AA
9834 BERLIND, P
8101 BERNABEI, R
1691 BERNABEU, J
12500 BERNARDEAU, CPF
509 BERNARDEAU, F
11426 BERNARDI, M
4710 BERNARDIS, PD
11125 BERNARD, J
10350 BERNARD, JP
11584 BERNASCONI, PA
14201 BERNLOEHR, K
2001 BERNLOHR, K
4493 BERNSTEIN, G
801 BERNSTEIN, GM
14776 BERNSTEIN, JJDRA
16266 BERNSTEIN, JP
16136 BERNSTEIN, MP
9418 BERNUI, A
6951 BERN, Z
8278 BERRINGTON, RC
3841 BERSANELLI, M
12108 BERSHADY, CJCMA
3808 BERSHADY, MA
10693 BERSIER, D
11764 BERSIER, DF
15123 BERSTEIN, G
16118 BERTARINI, A
968 BERTELLI, G
14891 BERTELLO, L
6547 BERTHOMIEU, G
14872 BERTHOMIEU, JPAG
15818 BERTI, E
3216 BERTIN, E
893 BERTIN, G
13552 BERTIN, MLG
6355 BERTOLA, F
10306 BERTOLA, JCVBF
343 BERTOLAMI, O
1940 BERTOLDI, F
14191 BERTONE, E
1356 BERTONI, C
185 BERTOUT, C
1215 BERTOUT, FMC
13828 BERTOU, X
9226 BERTRAM, R
6611 BERTRE, TL
12346 BERTSCH, DL
14685 BERTSCH, G
1833 BERTSCH, GF
639 BERTSCHINGER, E
14535 BERTULANI, CA
14801 BESER, N
15439 BESKIN, ASGM
9301 BESKIN, CMOGM
15218 BESKIN, G
8122 BESKIN, GM
10404 BESKIN, VS
1183 BESSELL, MS
7762 BESSON, D
5675 BESTER, M
2442 BEST, JS
5897 BEST, PN
16535 BETANCORTRIJO, J
10840 BETETA, JG
9197 BETHE, HA
3961 BETTENCOURT, LMA
13168 BETTI, R
6814 BETTONI, D
3490 BETZ, AL
8636 BEUERMANN, A
1249 BEUERMANN, K
14275 BEUST, H
16229 BEUTELSPACHER, M
1206 BEUZIT, J
2129 BEUZIT, JL
9732 BEYER, E
15108 BEZARD, B
11038 BEZBORODOV, CM
4468 BEZCHASTNOV, VG
4026 BEZECOURT, J
9284 BEZRUKOV, LB
6631 B, G
16486 BHANDARI, R
2589 BHARADWAJ, S
15600 BHARGAVI, SG
10905 BHATAL, R
13565 BHAT, CK
7954 BHAT, CL
9876 BHAT, CM
9520 BHATIA, VB
12976 BHATNAGAR, A
9274 BHAT, NDR
9877 BHAT, PC
6599 BHAT, PN
1576 BHATTACHARJEE, P
7064 BHATTACHARYA, D
3953 BHATTACHARYA, T
6048 BHATTACHARYYA, A
13566 BHATTACHARYYA, S
9943 BHATTAL, AS
13563 BHATT, N
14055 BHAVSAR, SP
910 BIAGIO, BD
9917 BIALAS, P
12820 BIANCHI, L
13807 BIANCHINI, A
7642 BIANCHINI, NMA
2759 BIANCHI, S
15527 BIANCO, CL
14604 BIASINI, M
1850 BIBBER, KV
2887 BIBRA, MLV
6015 BICA, E
11514 BICA, ELD
10025 BICAK, J
13273 BICAY, MD
4090 BICKERT, K
3727 BICKNELL, GV
12758 BIEBER, JW
9144 BIEBER, R
16069 BIEGING, J
16163 BIEGING, JH
2558 BIENAYME, O
3201 BIERMANN, ADPL
11503 BIERMANN, HFPL
1265 BIERMANN, P
0 BIERMANN, PL
4435 BIESIADA, M
7156 BIETENHOLZ, MF
11791 BIGGS, AD
406 BIGNAMI, GF
1040 BI, H
6274 BIHAM, O
2450 BIJAOUI, A
1864 BIJ, JJVD
10146 BIKMAEV, IF
1179 BILDSTEN, L
553 BILENKY, SM
4251 BILIC, N
6042 BILIOTTI, V
8227 BILLAWALA, JBY
11692 BILLAWALA, Y
6752 BILLER, S
8757 BILLER, SD
14996 BILLINGTON, I
15798 BILLOIR, P
12985 BILLYARD, AP
5015 BILTZINGER, P
11659 BINETRUY, P
2615 BINETTE, L
5605 BINGGELI, B
10882 BINGHAM, R
11739 BINI, D
2003 BINNEY, J
8423 BINNEY, JJ
7421 BIONTA, R
5827 BIONTA, RM
4854 BIRCH, P
671 BIRD, CM
15023 BIRD, DJ
2352 BIRD, MK
9610 BIRETTA, J
5224 BIRETTA, JA
3834 BIRKEL, M
8641 BIRK, GT
1039 BIRKINSHAW, M
7241 BIRKLE, K
9024 BISCHOFF, K
6004 BISCHOF, OB
9155 BISIKALO, DV
2878 BISNOVATYIKOGAN, GS
5206 BISSANTZ, N
1769 BISTOLAS, V
12486 BISWAS, S
1703 BIVIANO, A
16261 BIZENBERGER, P
15752 BIZYAEV, D
5554 BJOERNSSON, G
16482 BJORAKER, G
15443 BJORKMAN, J
11226 BJORKMAN, JE
5976 BJORKMAN, KS
10624 BJORNSSON, C
2879 BJORNSSON, G
607 B, L
7069 BLAAUW, A
12991 BLACKBURN, JK
7972 BLACK, DC
11067 BLACKER, BS
7409 BLACK, H
4326 BLACK, JH
2662 BLACKMAN, EG
15423 BLACKWOOD, GH
4552 BLADES, JC
5344 BLAES, O
7166 BLAES, OM
10504 BLAIN, A
7863 BLAIN, AW
7426 BLAIN, RJIAW
5860 BLAIR, AJ
16294 BLAIR, DG
5938 BLAIR, WP
11720 BLAISOUELLETTE, S
11063 BLAKE, C
6708 BLAKE, GA
7445 BLAKESLEE, J
3741 BLAKESLEE, JP
10551 BLANCFERAUD, L
544 BLANCHARD, A
4828 BLANCO, P
5200 BLANCOPILLADO, JJ
7088 BLANCO, PR
237 BLANDFORD, R
4794 BLANDFORD, RD
7180 BLANDFORD, RSERD
5877 BLANDHAWTHORN, J
14512 BLANK, B
9196 BLANLOEIL, V
14729 BLANTON, EL
10239 BLANTON, M
9149 BLASCHKE, D
9956 BLASI, F
11120 BLASIO, FVD
2553 BLASI, P
288 BLASONE, M
10585 BLATTNIG, SR
15001 BLAYLOCK, M
12513 BLAZEJOWSKI, M
13957 BLDMAN, SA
6847 BLECHA, A
7688 BLEEKER, J
7031 BLEEKER, JAM
2065 BLEYER, U
8428 BLINNIKOV, S
7733 BLINNIKOV, SI
4727 BLITON, M
2034 BLITZ, L
11009 BLOCH, J
11585 BLOCK, CCDL
11464 BLOCK, D
11682 BLOCK, DL
6749 BLOCKER, T
14341 BLOCK, MM
9962 BLOECKER, T
3610 BLOEMEN, H
5198 BLOK, ED
10812 BLOKLAND, AV
253 BLOK, WJGD
8326 BLOM, JJ
11947 BLOMMAERT, JADL
2996 BLONDIN, JM
12250 BLOOM, E
6710 BLOOM, ED
9249 BLOOM, J
1044 BLOOM, JS
7820 BLOOM, SD
4843 BLOSER, P
8948 BLOSER, PF
14760 BLOYET, D
1378 BLUDMAN, S
2609 BLUDMAN, SA
15685 BLUE, JE
14999 BLUHM, H
914 BLUMENTHAL, G
8632 BLUMENTHAL, GR
16334 BLUME, W
684 BLUM, R
3668 BLUM, RD
14609 BLUM, S
12322 BLUNDELL, K
4063 BLUNDELL, KM
7680 BOATTINI, A
1031 BOBROWSKY, M
10376 BOCCALETTI, A
11019 BOCHKAREV, NG
9209 BOCHSLER, P
16245 BOCK, D
10687 BOCK, DCJ
12567 BOCK, H
12828 BOCK, J
7225 BOCK, JJ
855 BOCQUET, M
16501 BOCZKO, R
1818 BODE, A
9263 BODEN, AF
2291 BODENHEIMER, P
982 BODE, P
1326 BODINI, L
92 BODO, G
6559 BOEHM, C
16566 BOEHM, S
7873 BOEHNHARDT, H
592 BOEHRINGER, DMNH
1632 BOEHRINGER, H
9500 BOEKER, T
12375 BOELLA, G
7940 BOER, B
4199 BOER, KSD
1518 BOER, M
1614 BOERNER, G
8571 BOERST, MSG
9536 BOESGAARD, AM
1568 BOETTCHER, M
13636 BOFFI, FR
3199 BOFFIN, H
7207 BOFFIN, HMJ
8832 BOGAERT, G
15823 BOGER, J
8200 BOGGESS, A
16133 BOGGINO, AET
14236 BOGGS, SE
1355 BOGHOSIAN, BM
9924 BOGOSLOVSKY, GY
12229 BOGOVALOV, S
13890 BOGOVALOV, SV
6531 BOHEC, SL
11822 BOHIGAS, J
10013 BOHLENDER, DA
6250 BOHLIN, R
3776 BOHLIN, RC
4132 BOHLIN, RH
7713 BOHM, KH
3364 BOHM, T
817 BOHRINGER, H
11689 BOILY, C
9185 BOIRIN, L
2597 BOISANGER, CBD
1364 BOISSEAU, B
2241 BOISSE, P
12501 BOISSIER, S
2604 BOISSON, C
12179 BOJKOV, DI
1309 BOKSENBERG, A
12024 BOLATTO, AD
1410 BOLDT, E
1653 BOLDYREV, AP
10264 BOLDYREV, S
6442 BOLESTA, JW
1083 BOLLER, T
7461 BOLOGNA, I
1086 BOLTE, M
11375 BOLZ, M
13891 BOLZONELLA, M
4198 BOMANS, DJ
3539 BOMBACI, I
15156 BONACCINI, D
15672 BONALDI, M
11238 BONAMENTE, M
12616 BONANNO, A
15056 BONANOS, A
9328 BONATTO, C
14563 BONAVENTURA, NR
856 BONAZZOLA, S
10788 BOND, D
1797 BOND, HE
15182 BOND, I
5772 BOND, IA
6769 BOND, IH
8586 BONDI, M
2828 BOND, JR
12756 BOND, R
15921 BONDU, F
14004 BONGIOVANNI, A
14761 BONGIRAUD, JP
752 BONIFACIO, FPP
4808 BONIFACIO, P
16295 BONIFAZI, P
7288 BONJOUR, F
15984 BONNAREL, F
9349 BONNELL, I
940 BONNELL, IA
8535 BONNELL, J
1064 BONNELL, JT
5744 BONNETBIDAUD, J
9641 BONNETBIDAUD, JM
1763 BONNET, H
1401 BONO, G
1564 BONOLI, C
3514 BONOMETTO, S
1243 BONOMETTO, SA
16385 BONO, NPG
5526 BONTEMPS, S
14627 BOOGERT, ACA
498 BOOKBINDER, J
12974 BOOKBINDER, JA
14827 BOONE, LM
7981 BOOTHBY, K
3096 BOOTH, R
2812 BOOTHROYD, AI
8643 BOOTH, RS
3861 BORATAV, M
11109 BORDE, A
4172 BORDEMANN, M
16002 BORDE, S
6564 BORDES, J
3489 BOREIKO, RT
359 BORGANI, S
15892 BORGHINI, N
961 BORGNE, JFL
6020 BORGNE, JL
5903 BORIONE, A
10400 BORISOV, NV
5085 BORISSOVA, J
9827 BORKOUS, V
11211 BORKOWSKI, K
8034 BORKOWSKI, KJ
8624 BORKUS, V
9414 BORMANN, K
14843 BORNE, K
11150 BORNE, KD
4322 BORNER, G
14056 BORNMANN, P
4916 BOROSON, B
5586 BOROSON, T
4717 BOROSON, TA
11467 BOROZDIN, K
529 BOROZDIN, KN
601 BORRA, EF
3471 BORREL, V
15641 BORRIELLO, A
863 BORRILL, J
8647 BORSENBERGER, J
16620 BORTOLETTO, F
9677 BORUKHOV, I
10922 BORYS, C
12829 BOSCALERI, A
5014 BOSCHAN, P
4215 BOSCH, FCVD
9836 BOSCHIN, W
9072 BOSELLI, A
13848 BOSE, S
8616 BOSH, AS
6900 BOSIO, S
5405 BOSMA, A
5231 BOSSI, M
13847 BOSTROM, N
196 BOTHUN, G
1216 BOTHUN, GD
14416 BOTHUN, KOG
16377 BOTTAI, S
1045 BOTTCHER, M
6210 BOTTEMA, R
12698 BOTTI, LCL
8991 BOTTINELLI, L
3087 BOTTINI, D
157 BOTTINO, A
12062 BOTTKE, WF
4793 BOTTORFF, M
15847 BOTTORFF, MC
10574 BOUCHET, F
1704 BOUCHET, FCR
1170 BOUCHET, FR
6296 BOUCHET, L
10797 BOUCHET, P
14508 BOUE, F
16335 BOUGERET, JL
10830 BOUGHN, S
6118 BOUGHN, SP
6306 BOUGLEUX, E
9722 BOULADE, O
5411 BOULANGER, F
4085 BOULESTEIX, J
7667 BOUMIER, P
4050 BOUMIS, P
541 BOUQUET, A
13898 BOURILKOV, D
14645 BOURKE, T
4296 BOURNER, PD
4161 BOUSSO, R
1784 BOUTREUX, T
1203 BOUVIER, J
10721 BOUWENS, R
4495 BOUWENS, RJ
9339 BOUWMAN, J
14810 BOWEN, D
4550 BOWEN, DV
14737 BOWEN, MPSECCSAESDV
10896 BOWEN, MPSLECCSDV
7684 BOWER, ACQG
12112 BOWER, ACQGA
6049 BOWER, CR
7382 BOWER, G
4430 BOWER, GA
9172 BOWER, GC
13366 BOWER, R
1906 BOWER, RG
14215 BOWERS, CA
8088 BOWERS, CW
7098 BOWERS, EJC
5450 BOWYER, S
13613 BOXHOORN, DR
9683 BOYADJIEV, T
306 BOYANOVSKY, D
9156 BOYARCHUK, AA
13591 BOYCE, PJ
2456 BOYD, PT
1210 BOYD, RN
8663 BOYER, C
15024 BOYER, J
13868 BOYLE, A
3247 BOYLE, B
1049 BOYLE, BJ
6753 BOYLE, P
6770 BOYLE, PJ
7759 BOYNTON, GC
12577 BOYNTON, PE
13946 BOZZA, SCV
13171 BOZZA, V
588 B, P
16551 BRAATEN, E
12150 BRAATZ, A
6866 BRAATZ, JA
1279 BRACCESI, A
9342 BRACCO, A
6596 BRACHWITZ, F
8933 BRADAMANTE, F
11669 BRADA, R
4122 BRADBURY, SM
15137 BRADFORD, CM
3632 BRADFORD, E
15782 BRADLEY, A
7265 BRADLEY, AD
9143 BRADLEY, DA
8344 BRADLEY, PA
6443 BRADNER, H
11201 BRADSTREET, DH
4487 BRADT, H
5122 BRADT, HV
6315 BRADY, PR
3070 BRAECKELEER, LD
14500 BRAEUNINGER, H
953 BRAGAGLIA, A
6138 BRAGA, J
15865 BRAGG, AE
307 BRAHM, DE
16036 BRAINE, J
14254 BRAINERD, COWTG
18 BRAINERD, JJ
742 BRAINERD, T
6824 BRAINERD, TG
13080 BRAITO, V
15408 BRAMEL, DA
2282 BRANCH, D
16215 BRANCHINA, V
70 BRANCHINI, E
15275 BRANCO, GC
12792 BRANDAU, C
96 BRANDENBERGER, R
1166 BRANDENBERGER, RH
2308 BRANDENBURG, A
12211 BRANDI, E
10782 BRAND, J
14709 BRANDL, B
1202 BRANDNER, W
12678 BRAND, PWJL
7449 BRANDT, S
264 BRANDT, WN
3704 BRANDUARDIRAYMONT, G
8236 BRANSFORD, MA
4032 BRASSARD, P
3399 BRATSCHI, P
14229 BRAUHER, J
15138 BRAUHER, JR
3409 BRAUN, DC
8248 BRAUNINGER, W
7388 BRAUN, JM
6018 BRAUN, KV
4393 BRAUN, M
2719 BRAUN, R
13233 BRAVIN, CM
15488 BRAVOALFARO, H
13263 BRAX, P
3966 BRAY, AJ
7946 BRAZIER, KTS
2093 BREDTHAUER, G
9550 BREEN, BM
9192 BREGER, M
12453 BREGMAN, JD
5 BREGMAN, JN
5264 BREHIN, S
12571 BREITSCHWERDT, D
8943 BREKKE, P
8177 BREMER, M
4417 BREMER, MAR
4420 BREMER, MN
12907 BREMNES, T
16140 BRERA, LMOAD
6172 BRERAMERATE, IOAD
6771 BRESLIN, AC
13593 BRESLIN, WCAC
4016 BRESOLIN, F
3075 BRESSAN, A
6361 BREUCK, CD
6860 BREUER, F
4442 BREUGEL, WJMV
2963 BREUGEL, WV
9700 BREVIK, I
10410 BREWER, J
690 BREWER, JP
2073 BRHLIK, M
13378 BRICENO, C
12329 BRICKER, AR
7038 BRICKHOUSE, NS
10725 BRIDGES, T
3735 BRIDGES, TJ
15252 BRIDGMAN, T
6923 BRIDLE, AH
9230 BRIDLE, SL
14501 BRIEL, U
1274 BRIEL, UG
7083 BRIGGS, F
5578 BRIGGS, FH
2584 BRIGGS, M
20 BRIGGS, MS
6713 BRIGHENTI, F
6085 BRIGNOLE, A
14608 BRILEY, M
8836 BRILLARD, L
8565 BRINCHMANN, J
8401 BRINGER, M
15613 BRINKMAN, AC
16640 BRINKMANN, J
14686 BRINKMANN, NKW
1596 BRINKMANN, W
8769 BRINK, P
3983 BRINKS, E
14409 BRIOT, C
5123 BRISSENDEN, RJV
9817 BRISTOL, R
2638 BRISTOW, PD
1952 BRITTON, A
15978 BRITTON, DDRMC
4464 BRITTON, MC
2821 BRITZEN, S
3149 BROADBENT, A
832 BROADHURST, T
8266 BROADHURST, TJ
794 BROCATO, E
6813 BROCCA, C
915 BROCK, M
22 BROCK, MN
7254 BROCKSOPP, C
3941 BROCKWAY, JW
7152 BRODD, S
15858 BRODERICK, A
6719 BRODERICK, JJ
7890 BRODIE, GMWJP
7352 BRODIE, J
5346 BRODIE, JP
14252 BRODIE, MKJP
11451 BRODIN, G
11683 BRODWIN, M
7324 BRODZINSKI, RL
8132 BROEILS, A
2681 BROEILS, AH
8233 BROGAN, CL
7303 BROGGINI, C
7639 BROGLIA, RA
15853 BROGT, E
2970 BROMLEY, BC
12102 BROMM, V
5383 BRONFMAN, L
16149 BRONIATOWSKI, A
15521 BROOK, A
11686 BROOKE, J
1925 BROOKE, TY
7989 BROOKS, KJ
11680 BROOK, SS
16599 BROOS, PS
8146 BROSCHE, P
3483 BROSCH, N
16574 BROSIUS, JW
374 BROSTROM, L
2206 BROTHERTON, M
1315 BROTHERTON, MS
9239 BROUDE, C
8747 BROUILLET, N
596 BROWN, AGA
1657 BROWN, BA
16602 BROWN, D
9832 BROWN, DI
7184 BROWN, DTFRL
4713 BROWN, EF
470 BROWNE, IWA
1261 BROWN, GE
896 BROWN, GL
8670 BROWN, JA
188 BROWN, JC
5136 BROWN, JP
10053 BROWN, L
4971 BROWN, LS
13405 BROWN, ME
10281 BROWN, MJW
11324 BROWN, R
12941 BROWN, RH
16588 BROWN, RJN
9634 BROWN, ST
3546 BROWN, TM
13644 BROWN, W
7457 BRUCA, L
1708 BRUCK, CVD
13234 BRUCKMAYER, M
7563 BRUEGMANN, B
10195 BRUENN, S
4582 BRUENN, SW
16323 BRUENS, C
5672 BRUGGEN, M
14214 BRUHWEILER, FC
2916 BRUIJNE, JHJD
4994 BRUMBY, SP
10483 BRUN, AS
11073 BRUNDAGE, M
6191 BRUNETTI, G
10246 BRUNETTI, M
4762 BRUNI, M
3358 BRUNNER, H
5636 BRUNNER, R
5900 BRUNNER, RJ
13017 BRUNO, R
1565 BRUNOZZI, PT
15430 BRUNTHALER, A
9861 BRUNTT, H
2240 BRUN, VL
14189 BRUNZENDORF, J
15227 BRUSCOLI, M
317 BRUSTEIN, R
8361 BRUVOLD, A
15217 BRUXELLES, NMVLD
2737 BRUYN, AGD
2110 BRUYNE, VD
15843 BRUYN, GD
15369 BRUYN, JDAGD
3509 BRUZUAL, G
9529 BRUZUAL, GA
12711 BRYAN, G
41 BRYAN, GL
14051 BRYANT, J
11905 BRYANT, JJ
4052 BRYCE, M
11254 BRYDEN, G
8942 BRYNILDSEN, N
10722 BUAT, TBV
9551 BUAT, V
4376 BUCCELLA, F
13235 BUCCI, C
2539 BUCHALTER, A
311 BUCHER, M
1077 BUCHERT, T
15745 BUCHHAVE, L
7055 BUCHLER, JR
7383 BUCHLER, R
16481 BUCHLER, ZKJR
7589 BUCHMANN, AJ
10054 BUCHMANN, L
11376 BUCHMULLER, W
4324 BUCK, C
6737 BUCKELY, DH
6224 BUCKLEY, D
6389 BUCKLEY, DAH
11627 BUCKLEY, DJ
6754 BUCKLEY, J
6772 BUCKLEY, JH
14957 BUCKLEY, K
3161 BUCKLEY, SBJ
16466 BUCZYNSKI, D
9994 BUDAJ, J
14160 BUDAVARI, T
15183 BUDDING, E
15099 BUDINI, G
9285 BUDNEV, NM
7007 BUELL, J
7102 BUELL, JF
5488 BUENO, JT
15583 BUETTNER, DJ
9286 BUGAEV, EV
9103 BUITRAGO, J
2041 BUJARRABAL, V
16112 BULGAC, A
8567 BULIAN, N
1974 BULIK, T
12669 BULLEJOS, A
5074 BULLOCK, JS
3248 BUNCLARK, P
1149 BUNCLARK, PS
16145 BUNDY, KA
16488 BUNIY, RV
2548 BUNKER, A
63 BUNKER, AJ
8629 BUNKER, SEZAJ
16082 BUNKOV, YM
83 BUNN, EF
16190 BUNTON, JD
3950 BUONANNO, A
2643 BUONANNO, R
14178 BUONDI, V
9180 BUONOMO, F
14612 BUOTE, D
327 BUOTE, DA
16216 BURAS, R
5000 BURBIDGE, EM
2906 BURBIDGE, G
6272 BURBIDGE, VJEM
9323 BURDERI, L
6807 BURDETT, A
6784 BURDETT, AC
6773 BURDETT, AM
7849 BURDMAN, G
3687 BURDYUZHA, V
9640 BUREAU, M
4921 BUREN, DV
9885 BURENIN, RA
6074 BURENKOV, AA
4084 BURENKOV, AN
3525 BURGARD, C
5867 BURGARELLA, D
13356 BURGASSER, A
13872 BURGASSER, AJ
7407 BURGE, DMJ
10958 BURGE, J
12759 BURGER, RA
4164 BURGESS, CP
14301 BURGESS, TA
16590 BURGH, EB
14492 BURGIN, MS
4389 BURGIO, GF
14106 BURGO, CD
13367 BURGOSMARTIN, J
727 BURG, R
8311 BURIGANA, C
7442 BURKE, B
6418 BURKE, BE
4256 BURKE, BF
12708 BURKE, CJ
2685 BURKE, DJ
983 BURKERT, A
8249 BURKERT, W
16597 BURKERT, WKA
10346 BURKI, G
5528 BURLEIGH, M
4985 BURLEIGH, MR
3402 BURLES, S
12105 BURLES, SM
15666 BURLEY, G
6914 BURLEY, GS
9973 BURNAGE, R
10178 BURNASHEV, VI
4672 BURNELL, SJB
10671 BURNET, M
11244 BURNS, CR
10898 BURNS, J
10542 BURNS, JA
523 BURNS, JO
8485 BURNS, SD
9573 BURRIS, DL
1488 BURROWS, A
7800 BURROWS, CJ
5813 BURROWS, DN
3268 BURSTEIN, D
12044 BURSTEIN, PR
8492 BURSTS, DHTAIG
15494 BURTON, B
14166 BURTON, JKLMG
13202 BURTON, M
7781 BURTON, MG
598 BURTON, WB
9565 BURUD, I
15657 BURWELL, J
13053 BURWELL, JM
11601 BURWITZ, V
10528 BUSARELLO, G
5456 BUSER, R
7778 BUSFIELD, G
13290 BUSHE, WK
11151 BUSHOUSE, H
15058 BUSHOUSE, HA
14044 BUSH, RI
10657 BUSON, LM
5939 BUSSER, WBJU
13633 BUSSINO, ACPBS
5030 BUS, SJ
4309 BUSSO, M
6774 BUSSONSGORDO, J
15974 BUSSWELL, GS
14961 BUSZA, W
481 BUTA, RJ
4344 BUTCHER, H
7108 BUTCHER, JA
12437 BUTENHOFF, C
14977 BUTLER, D
14171 BUTLER, N
9299 BUTLER, R
6647 BUTLER, RC
5184 BUTLER, RP
4354 BUTNER, HM
5022 BUTTERWORTH, P
5828 BUTTERWORTH, PS
5038 BUTTERWORTH, ST
16453 BUTT, YM
13128 BUXTON, M
16182 BUZASI, D
8290 BUZZONI, A
761 B, WE
10880 BYERS, N
3107 BYKOV, A
16397 BYKOV, AM
9420 BYLAND, S
10499 BYLEVELD, SE
14727 BYRD, GG
3651 BYUN, Y
3231 BYUN, YI
2794 C, A
2457 CAAMINOS, JL
3133 CABANAC, R
6816 CABANAC, RA
12947 CABANELA, JE
7290 CABAN, P
6517 CABOT, H
8770 CABRERA, B
7485 CABRERAGUERA, F
13075 CABRIT, S
7607 CACCIANIGA, A
1749 CACCIARI, C
3596 CADITZ, D
15638 CAELENBERG, KV
16363 CAFFAU, E
2489 CAFFEE, M
2850 CAGANOFF, S
7609 CAGNONI, I
13827 CAILLAUD, B
5556 CAILLAULT, J
16086 CAILLAULT, JP
14967 CAI, MJ
1826 CALABRESU, E
7927 CALBET, X
11887 CALCANEOROLDAN, C
4581 CALDER, AC
8771 CALDWELL, D
11938 CALDWELL, DO
4855 CALDWELL, JAR
2301 CALDWELL, N
3230 CALDWELL, R
2251 CALDWELL, RR
14242 CALIFANO, F
13645 CALKINS, M
5374 CALLANAN, P
2097 CALLANAN, PJ
12883 CALLCUT, J
14722 CALOI, V
7567 CALURA, M
4618 CALVANI, M
8406 CALVET, G
10302 CALVET, N
6367 CALZETTA, E
3478 CALZETTA, EA
4913 CALZETTI, D
16502 CAMARGO, JIB
6606 CAMBRESY, L
12089 CAMBRIDGE, I
6444 CAMERINI, U
8726 CAMERON, AC
15175 CAMERON, RA
2769 CAMILO, F
15235 CAMILO, FM
13663 CAMPANA, DLS
13685 CAMPANA, GGS
1959 CAMPANA, S
1642 CAMPANELLI, M
10257 CAMPBELL, BA
11084 CAMPBELL, R
2215 CAMPBELL, RM
14151 CAMPBELLSMITH, A
7097 CAMPBELLWILSON, D
16361 CAMPION, JFL
16161 CAMP, MV
354 CAMPOS, A
11715 CAMPO, SD
15093 CAMPOS, MD
13731 CAMPUSANO, L
6370 CAMPUSANO, LE
10655 CANAL, CAG
5797 CANALIZO, G
1260 CANAL, R
7596 CANARIAS, IDAD
8684 CANAVEZES, A
2583 CANEL, LM
4306 CANIL, G
994 CANIZARES, CR
3897 CANNIZZO, JK
10454 CANNON, DB
7906 CANNON, R
6155 CANNON, RC
12956 CANNON, RD
14304 CANNON, WH
3837 CANON, V
4386 CANOOTT, D
5255 CANOSA, C
13866 CANOSA, CM
14371 CANTALOUPO, C
14918 CANTALUPO, CM
8016 CANTO, J
4573 CANUTO, VM
9373 CANZIAN, B
7549 CAO, L
6008 CAON, N
11128 CAO, SL
8306 CAO, X
6412 CAO, Y
14765 CAO, Z
6006 CAPACCIOLI, M
11133 CAPALBI, M
15225 CAPELATO, H
3730 CAPELATO, HV
9097 CAPELLE, KS
6893 CAPETTI, A
2653 CAPONE, G
3850 CAPOZZIELLO, S
10656 CAPPELLARI, M
1190 CAPPELLARO, E
3890 CAPPI, A
15312 CAPPI, L
1597 CAPPI, M
9345 CAPUANO, N
1402 CAPUTO, F
4669 CAPUZZODOLCETTA, R
14135 CARANICOLAS, ND
11963 CARAVEO, P
405 CARAVEO, PA
926 CARBALLO, R
3403 CARBONE, V
10479 CARBONI, M
3212 CARDALL, CY
7977 CARDELLI, JA
13175 CARDENAS, V
1335 CARDIEL, N
14723 CARDINI, D
12342 CARDONA, O
13948 CARDONE, V
11942 CARDONE, VF
16296 CARELLI, P
14915 CARETTA, CA
16132 CARIAS, MCPD
10626 CARIGI, L
11181 CARIGI, MPL
3054 CARIGNAN, C
9522 CARILLI, C
2738 CARILLI, CL
3237 CARLBERG, R
1521 CARLBERG, RG
10901 CARLIP, S
15867 CARLO, FD
15582 CARLOS, BD
15954 CARLSON, B
14300 CARLSON, BR
3209 CARLSON, CE
1824 CARLSON, ED
9164 CARLSON, MN
3003 CARLSSON, M
15496 CARLSTROM, J
4459 CARLSTROM, JE
4321 CARMELI, M
8813 CARNEIRO, S
14489 CARNEY, B
11848 CARNEY, BW
135 CAROLLO, CM
110 CAROLLO, M
11533 CARPENTER, C
10508 CARPENTER, JM
11863 CARPINTERO, DD
8539 CARQUILLAT, JM
7948 CARRAMINANA, A
14975 CARRANZA, G
7146 CARRARO, G
4028 CARRASCO, BE
3088 CARRASCO, DML
14436 CARRASCO, E
5641 CARRASCO, JJ
5707 CARRASCO, L
12411 CARR, BJ
6011 CARRERA, F
1909 CARRERA, FJ
1741 CARRETTA, E
1357 CARRETTI, E
8541 CARRIER, F
713 CARR, J
1298 CARR, JS
11175 CARR, M
2309 CARROLL, SM
11644 CARSON, M
13594 CARSON, MJ
14393 CARSON, TR
4661 CARSWELL, B
2764 CARSWELL, RF
1831 CARTER, B
5461 CARTER, BS
697 CARTER, D
3162 CARTERLEWIS, DA
14442 CARTIN, D
12930 CARTWRIGHT, JK
15580 CARVALHO, CS
12604 CARVALHO, JC
3904 CARVALHO, JPMD
6878 CARVALHO, RD
2011 CARVALHO, RRD
15620 CARVALHO, VEMRRD
11108 CASADIO, R
12357 CASANOVA, S
7914 CASARES, C
7263 CASARES, J
9422 CASAS, JA
3838 CASAS, R
15072 CASASSUS, S
6929 CASCONE, E
10714 CASE, GL
3879 CASERTANO, S
11797 CASEY, MP
6329 CASINI, H
31 CASOLI, F
